  Measurement Number     Measurement type
                  16            NewRelaib

      Measurement ID                 Mode
       739694.776394                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -3             0.000101                  3.5             0.000101

           Rise time            Fall Time           Separation
               1e-06                1e-06               0.0001

              Cycles       Steps in cycle         Test voltage
                 500                10000                    1

      Step        LRS        HRS
      7981  2042.5966 48204.4557
      8001  1325.4548 43948.1369
      8021  2304.1769 37892.9544
      8041  1729.3119  32791.999
      8061  2001.1891 34565.8872
      8081  2468.5582 68367.6015
      8101  2415.2175 45499.6624
      8121  2034.0477 48610.2362
      8141  2096.2867 59346.1365
      8161   2223.567 45469.5182
      8181  2319.9421 81392.1597
      8201  2359.0527   49730.64
      8221  2330.4697 44206.1783
      8241  2343.1623 48537.5124
      8261  2459.7904 40814.7627
      8281  2331.7869 37971.1705
      8301  2231.3234 31932.0031
      8321  2030.4682 29727.9424
      8341  2093.9227 43354.9657
      8361  1876.6916 27831.2717
      8381   1840.129 31727.5998
      8401  1585.4744 40377.9063
      8421  1545.2961  10996.175
      8441  1501.0783 20334.4736
      8461  1546.2736 16788.4486
      8481  1554.1367 25559.8728
      8501  1582.9742 22797.2077
      8521  1575.2359 25961.3172
      8541  1665.3502  22233.495
      8561  1567.6919 26329.4546
      8581  1557.9015 24211.7865
      8601  1553.3399 21005.5712
      8621  1688.1517 17749.2651
      8641  1674.5288 24372.0107
      8661  1577.2277  20649.091
      8681  1588.1407 23862.5814
      8701  1649.5179  18538.038
      8721  1609.5488 15412.7767
      8741  1550.9446 15783.7447
      8761   1581.438 23744.7717
      8781  1721.9733 25846.4342
      8801  1669.7135 24500.6833
      8821  1668.5231 21830.2422
      8841  1624.9087 21454.7616
      8861  1597.9928 30739.3929
      8881   1086.314 32619.0561
      8901  1620.3882 28651.0745
      8921   990.5016  36836.504
      8941  1253.7928  1374.8761
      8961  1135.2427 33081.6923
      8981  1252.1295 27421.3221
      9001  1266.3278  1384.5951
      9021  1657.4909 29495.0197
      9041  1656.8799 23470.2406
      9061  1209.5381  36638.336
      9081  1763.4615 32782.9629
      9101  1465.0594 25316.5392
      9121  1867.2806 27070.0091
      9141  1676.7105 24324.5007
      9161  1578.6992 23196.7062
      9181  1575.8236 27975.0446
      9201  1577.3943 24813.4543
      9221  1792.8837 21938.8102
      9241  1332.8824 27099.6098
      9261  1547.6684 34991.2306
      9281  1654.2487 22491.3226
      9301   1723.351 18459.9815
      9321  1690.7486 21207.5423
      9341  1691.4626 18306.9521
      9361  1790.2034 21790.3868
      9381  1740.6933  29648.416
      9401   1584.707 26519.4361
